deviceId	address	name	description	unit	type	len	factor	offset	role	room	
1	30501	Isttemperatur-FE7	Isttemperatur FE7	°C	uint16be	1	0.1	0	value.temperature		
1	30502	Solltemperatur-FE7	Solltemperatur FE7	°C	uint16be	1	0.1	0	value.temperature		
1	30503	Isttemperatur-FEK	Isttemperatur FEK	°C	uint16be	1	0.1	0	value.temperature		
1	30504	Solltemperatur-FEK	Solltemperatur FEK	°C	uint16be	1	0.1	0	value.temperature		
1	30505	Raumfeuchte	Raumfeuchte	°C	uint16be	1	0.1	0	value.temperature		
1	30506	Taupunkttemperatur	Taupunkttemperatur	°C	int16be	1	0.1	0	value.temperature		
1	30507	Aussentemperatur	Aussentemperatur	°C	int16be	1	0.1	0	value.temperature		
1	30508	Isttemperatur HK1	Isttemperatur HK1	°C	uint16be	1	0.1	0	value.temperature		
1	30509	Solltemperatur-HK1	Solltemperatur HK 1	°C	uint16be	1	0.1	0	value.temperature		
1	30510	Solltemperatur HK1	Solltemperatur HK1	°C	uint16be	1	0.1	0	value.temperature		
1	30511	Isttemperatur-HK2	Isttemperatur HK 2	°C	uint16be	1	0.1	0	value.temperature		
1	30512	Solltemperatur-HK2	Solltemperatur HK 2	°C	uint16be	1	0.1	0	value.temperature		
1	30513	Vorlaufisttemperatur WP	Vorlaufisttemperatur WP	°C	uint16be	1	0.1	0	value.temperature		
1	30514	Vorlaufisttemperatur NHZ	Vorlaufisttemperatur NHZ	°C	uint16be	1	0.1	0	value.temperature		
1	30515	Vorlaufisttemperatur	Vorlaufisttemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30516	Ruecklaufisttemperatur	Rücklaufisttemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30517	Festwertsolltemperatur	Festwertsolltemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30518	Pufferisttemperatur	Pufferisttemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30519	Puffersolltemperatur	Puffersolltemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30520	Heizungsdruck	Heizungsdruck	bar	uint16be	1	0.1	0	value.valve		
1	30521	Volumenstrom	Volumenstrom	l/min	uint16be	1	0.1	0	level.valve		
1	30522	WW-Isttemperatur	Isttemperatur Warmwasser	°C	uint16be	1	0.1	0	value.temperature		
1	30523	WW-Solltemperatur	Solltemperatur Warmwasser	°C	uint16be	1	0.1	0	value.temperature		
1	30524	Isttemp-Geblaese	Isttemperatur Gebläse	K	uint16be	1	0.1	0	value.temperature		
1	30525	Solltemp-Geblaese	Solltemperatur Gebläse	K	uint16be	1	0.1	0	value.temperature		
1	30526	Isttemp-Flaeche	Isttemperatur Fläche	K	uint16be	1	0.1	0	value.temperature		
1	30527	Solltemp-Flaeche	Solltemperatur Fläche	K	uint16be	1	0.1	0	value.temperature		
1	30528	Kollektortemperatur	Kollektortemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30529	Speichertemperatur	Speichertemperatur	°C	uint16be	1	0.1	0	value.temperature		
1	30530	Laufzeit-solar	Laufzeit Solar	h	uint16be	1	1	0	value		
1	30531	Isttemperatur-extern	Isttemperatur - Wärmeerzeuger extern	°C	uint16be	1	0.1	0	value.temperature		
1	30532	Solltemperatur-extern	Solltemperatur - Wärmeerzeuger extern	K	uint16be	1	0.1	0	value.temperature		
1	30533	Einsatzgrenze-HZG	Einsatzgrenze Heizung	°C	int16be	1	0.1	0	value.temperature		
1	30534	Einsatzgrenze-WW	Einsatzgrenze Warmwasser	°C	int16be	1	0.1	0	value.temperature		
1	30535	Laufzeit-extern	Laufzeit - Wärmeerzeuger extern	h	uint16be	1	1	0	value		
1	30536	Quellentemperatur	Quellentemperatur	°C	int16be	1	0.1	0	value.temperature		
1	30537	Quellentemperatur-Min	Quellentemperatur Min	°C	int16be	1	0.1	0	value.temperature		
1	30538	Quellendruck	Quellendruck	bar	int16be	1	0.01	0	value.valve		
1	30542	Ruecklauftemp-WP1	Rücklauftemperatur Wärmepumpe 1	°C	uint16be	1	0.1	0	value.temperature		
1	30543	Vorlauftemp-WP1	Vorlauftemperatur Wärmepumpe 1	°C	uint16be	1	0.1	0	value.temperature		
1	30544	Heissgastemp-WP1	Heissgastemperatur Wärmepumpe 1	°C	uint16be	1	0.1	0	value.temperature		
1	30545	Druck-ND-WP1	Druck Niederdruck Wärmepumpe 1	bar	uint16be	1	0.01	0	value.valve		
1	30546	Druck-MD-WP1	Druck Mitteldruck Wärmepumpe 1	bar	uint16be	1	0.01	0	value.valve		
1	30547	Druck-HD-WP1	Druck Hochdruck Wärmepumpe 1	bar	uint16be	1	0.01	0	value.valve		
1	30548	Wasservolumenstrom-WP1	Wasservolumenstrom Wärmepumpe 1	l/min	uint16be	1	0.1	0	value.valve		
1	30549	Ruecklauftemp-WP2	Rücklauftemperatur Wärmepumpe 2	°C	uint16be	1	0.1	0	value.temperature		
1	30550	Vorlauftemp-WP2	Vorlauftemperatur Wärmepumpe 2	°C	uint16be	1	0.1	0	value.temperature		
1	30551	Heissgastemp-WP2	Heissgastemperatur Wärmepumpe 2	°C	uint16be	1	0.1	0	value.temperature		
1	30552	Druck-ND-WP2	Druck Niederdruck Wärmepumpe 2	bar	uint16be	1	0.01	0	value.valve		
1	30553	Druck-MD-WP2	Druck Mitteldruck Wärmepumpe 2	bar	uint16be	1	0.01	0	value.valve		
1	30554	Druck-HD-WP2	Druck Hochdruck Wärmepumpe 2	bar	uint16be	1	0.01	0	value.valve		
1	30555	Wasservolumenstrom-WP2	Wasservolumenstrom Wärmepumpe 2	l/min	uint16be	1	0.1	0	value.valve		
